ktc_low;ktc_high;tot_erosion;tot_sedimentation;sed_river;sed_noriver;sed_buffer;sed_sewerin;sed_openwater;outlet_1;outlet_2
12.00;20.00;-7411972169.57;5863541984.22;3366474.06;110251.56;841783.71;3382173.79;;3365239.5;0
12.00;21.00;-7450647766.39;5893514587.64;3474172.86;112747.65;857665.07;3481670.42;;3472938.25;0
12.00;22.00;-7490499260.12;5924432596.00;3580064.16;115210.25;873170.62;3577367.71;;3578828.25;0
12.00;23.00;-7531469208.36;5956244915.58;3683630.84;117644.13;888244.38;3669476.56;;3682394.25;0
12.00;24.00;-7573500633.48;5988899972.20;3786270.80;120044.94;902031.43;3758488.93;;3785035.75;0
12.00;25.00;-7616540295.05;6022349034.81;3887528.18;122195.60;915416.38;3845578.56;;3886289.75;0
13.00;13.00;-7643831904.80;6042952559.57;2528687.40;90268.36;730528.27;2659436.09;;2527353.5;0
13.00;14.00;-7672739065.15;6064871546.39;2665266.96;93510.52;754647.15;2779989.09;;2663933.75;0
13.00;15.00;-7703214977.14;6088071352.67;2797860.37;96610.38;777338.85;2895200.87;;2796527.75;0
13.00;16.00;-7735200652.17;6112503775.39;2926561.62;99511.84;798631.13;3005987.73;;2925228.25;0
13.00;17.00;-7768641044.62;6138122114.25;3052706.41;102313.51;817529.61;3114137.75;;3051372;0
13.00;18.00;-7803473066.10;6164871395.03;3175752.58;105042.35;835384.10;3218777.74;;3174420.25;0
13.00;19.00;-7839636320.73;6192698532.06;3294312.46;107703.57;852711.06;3321281.02;;3292981;0
13.00;20.00;-7877081151.30;6221563569.80;3405199.32;110259.74;869732.87;3422565.65;;3403868.5;0
13.00;21.00;-7915759046.05;6251423640.28;3512979.30;112755.84;886262.94;3522576.76;;3511648;0
13.00;22.00;-7955613857.03;6282228167.72;3618944.37;115218.43;902291.30;3619636.40;;3617611.5;0
13.00;23.00;-7996583967.71;6313920578.78;3723152.91;117652.31;917781.16;3713940.54;;3721820.75;0
13.00;24.00;-8038610081.29;6346447630.07;3825866.74;120053.12;932178.95;3804767.37;;3824534.75;0
13.00;25.00;-8081639956.79;6379763277.97;3927193.40;122203.78;946086.83;3892060.81;;3925859;0
14.00;14.00;-8110552326.38;6401608689.53;2686506.88;93510.52;773737.08;2813748.60;;2685076.75;0
14.00;15.00;-8141029117.46;6424724513.63;2821928.01;96610.38;798135.24;2930504.76;;2820498;0
14.00;16.00;-8173016506.25;6449069267.10;2952421.28;99511.84;821195.55;3041977.70;;2950991;0
14.00;17.00;-8206462948.35;6474600293.77;3079083.74;102313.51;842760.98;3150611.28;;3077653.25;0
14.00;18.00;-8241305975.24;6501264852.69;3202877.70;105042.35;861766.35;3255755.44;;3201449.25;0
14.00;19.00;-8277478832.60;6529003175.11;3322772.05;107703.57;879575.28;3359023.46;;3321343;0
14.00;20.00;-8314928421.95;6557768100.99;3439575.82;110259.74;896802.81;3460621.19;;3438148.5;0
14.00;21.00;-8353605012.78;6587517710.43;3550754.37;112755.84;913641.81;3560876.19;;3549326.25;0
14.00;22.00;-8393456983.67;6618208721.16;3656770.71;115218.43;930098.85;3658505.72;;3655342.25;0
14.00;23.00;-8434426898.67;6649787272.25;3761649.37;117652.31;946200.08;3754305.67;;3760221.25;0
14.00;24.00;-8476451192.15;6682197433.34;3864494.12;120053.12;961125.43;3845854.45;;3863066.75;0
14.00;25.00;-8519475148.91;6715389861.59;3965913.83;122203.78;975204.75;3935114.13;;3964483.25;0
15.00;15.00;-8549955371.50;6738433790.38;2842708.24;96610.38;815192.18;2963471.96;;2841181.5;0
15.00;16.00;-8581940655.83;6762693839.45;2976919.91;99511.84;839746.42;3077005.33;;2975392.5;0
15.00;17.00;-8615382386.80;6788133969.26;3104372.43;102313.51;863222.78;3186346.63;;3102844.75;0
15.00;18.00;-8650226314.92;6814709814.65;3228569.35;105042.35;884331.48;3291966.16;;3227044.25;0
15.00;19.00;-8686407674.44;6842363788.63;3349154.52;107703.57;904582.16;3395441.65;;3347629.25;0
15.00;20.00;-8723868379.06;6871044271.90;3467030.67;110259.74;922755.38;3497632.22;;3465506;0
15.00;21.00;-8762553455.03;6900702201.34;3581931.63;112755.84;940021.96;3598287.84;;3580406.25;0
15.00;22.00;-8802405372.27;6931288027.20;3692591.32;115218.43;956731.16;3695981.24;;3691065.5;0
15.00;23.00;-8843373106.82;6962757002.02;3798986.36;117652.31;973272.06;3791851.16;;3797461;0
15.00;24.00;-8885393906.87;6995053578.86;3902490.63;120053.12;988646.87;3884562.39;;3900965;0
15.00;25.00;-8928415292.09;7028131915.85;4003997.14;122203.78;1003310.68;3974271.48;;4002468.75;0
16.00;16.00;-8960402003.41;7052320397.20;2997565.46;99511.84;855990.91;3108637.48;;2995942.25;0
16.00;17.00;-8993840784.08;7077677526.21;3128788.09;102313.51;880477.50;3220262.24;;3127163.5;0
16.00;18.00;-9028678674.92;7104163422.05;3253554.90;105042.35;903653.97;3327025.27;;3251933.75;0
16.00;19.00;-9064855558.03;7131727026.31;3374352.97;107703.57;924344.38;3431245.05;;3372732;0
16.00;20.00;-9102318478.56;7160320849.42;3492825.12;110259.74;944686.89;3533762.57;;3491204.75;0
16.00;21.00;-9141011304.52;7189894033.86;3609411.70;112755.84;963565.08;3634720.68;;3607789.75;0
16.00;22.00;-9180869176.83;7220389883.09;3722038.61;115218.43;981137.57;3732914.74;;3720417;0
16.00;23.00;-9221837434.50;7251759545.78;3831610.87;117652.31;998196.67;3828992.79;;3829989;0
16.00;24.00;-9263857042.89;7283950376.58;3939107.09;120053.12;1014154.20;3921848.50;;3937486.25;0
16.00;25.00;-9306874717.27;7316918380.22;4041102.41;122203.78;1029337.50;4012484.38;;4039478.5;0
17.00;17.00;-9340314996.99;7342204912.41;3150073.50;102313.51;896577.80;3250521.58;;3148352.5;0
17.00;18.00;-9375151238.95;7368610945.43;3277909.16;105042.35;920515.96;3359571.69;;3276191.5;0
17.00;19.00;-9411322537.07;7396087395.39;3399240.54;107703.57;942871.21;3464968.36;;3397522.25;0
17.00;20.00;-9448779270.37;7424591408.37;3517957.45;110259.74;963647.41;3568306.77;;3516240.5;0
17.00;21.00;-9487469014.74;7454075858.40;3634817.41;112755.84;983739.76;3669757.36;;3633099.5;0
17.00;22.00;-9527330876.95;7484485852.53;3749649.30;115218.43;1002907.72;3768422.50;;3747931.25;0
17.00;23.00;-9568304582.36;7515768001.86;3860708.48;117652.31;1020931.11;3865061.71;;3858989.5;0
17.00;24.00;-9610326756.73;7547866008.09;3969547.49;120053.12;1037335.73;3958520.55;;3967830;0
17.00;25.00;-9653343472.43;7580732985.19;4075456.06;122203.78;1052917.36;4049519.44;;4073735.5;0
18.00;18.00;-9688181731.35;7607069610.21;3299667.46;105042.35;936595.20;3388873.06;;3297851.25;0
18.00;19.00;-9724354194.58;7634470190.57;3423242.65;107703.57;960040.54;3496541.07;;3421426;0
18.00;20.00;-9761808961.52;7662892738.56;3542716.43;110259.74;981735.90;3600653.20;;3540902;0
18.00;21.00;-9800492994.62;7692289932.57;3659878.20;112755.84;1002382.98;3702831.45;;3658062;0
18.00;22.00;-9840350445.74;7722612354.48;3774788.49;115218.43;1022285.50;3802093.21;;3772971.75;0
18.00;23.00;-9881324148.60;7753806933.51;3888377.51;117652.31;1041814.89;3899208.20;;3886561.75;0
18.00;24.00;-9923349895.38;7785818618.78;3998267.85;120053.12;1059176.13;3992970.46;;3996451.5;0
18.00;25.00;-9966370434.95;7818596934.08;4105451.94;122203.78;1075342.69;4084626.38;;4103633.5;0
19.00;19.00;-10002546965.60;7845931526.83;3444254.39;107703.57;976090.37;3525292.13;;3442341.25;0
19.00;20.00;-10040004220.27;7874280781.96;3565917.92;110259.74;999076.80;3631647.77;;3564006.5;0
19.00;21.00;-10078690937.22;7903602436.86;3684312.82;112755.84;1020256.45;3734502.76;;3682401.25;0
19.00;22.00;-10118544062.37;7933840655.90;3799608.62;115218.43;1040790.44;3834030.16;;3797696.25;0
19.00;23.00;-10159512225.45;7964948839.02;3913250.01;117652.31;1060540.50;3931544.76;;3911338.5;0
19.00;24.00;-10201537526.97;7996875004.78;4025737.98;120053.12;1079140.23;4025741.18;;4023826;0
19.00;25.00;-10244561627.04;8029569715.35;4133561.81;122203.78;1096490.38;4117763.57;;4131648;0
20.00;20.00;-10282022970.27;8057854032.80;3586325.65;110259.74;1015255.81;3659825.87;;3584317;0
20.00;21.00;-10320712294.72;8087104179.46;3706536.13;112755.84;1037513.12;3764878.11;;3704526.5;0
20.00;22.00;-10360569951.34;8117270368.25;3823094.37;115218.43;1058422.65;3865209.16;;3821085;0
20.00;23.00;-10401534959.26;8148296672.57;3937632.04;117652.31;1078908.57;3962979.77;;3935623;0
20.00;24.00;-10443554569.90;8180137395.51;4050420.15;120053.12;1097625.59;4057393.59;;4048410.75;0
20.00;25.00;-10486575252.06;8212745789.93;4160468.08;122203.78;1115714.41;4149599.54;;4158455.75;0
21.00;21.00;-10525265496.36;8241928927.23;3726169.39;112755.84;1054014.74;3792391.52;;3724063.75;0
21.00;22.00;-10565124591.96;8272024046.31;3844413.83;115218.43;1075570.76;3894963.02;;3842307.75;0
21.00;23.00;-10606093021.53;8302979231.32;3959767.44;117652.31;1096370.92;3993633.36;;3957661.75;0
21.00;24.00;-10648111618.30;8334742323.18;4073549.96;120053.12;1115720.04;4088319.02;;4071444.75;0
21.00;25.00;-10691126805.54;8367266270.33;4184778.02;122203.78;1134120.65;4180871.14;;4182670.5;0
22.00;22.00;-10730987004.47;8397295327.63;3863658.48;115218.43;1092189.73;3921981.62;;3861454.75;0
22.00;23.00;-10771957552.04;8428182296.21;3980212.55;117652.31;1113373.42;4022232.68;;3978010.75;0
22.00;24.00;-10813978041.74;8459874525.29;4094569.12;120053.12;1133111.46;4118376.74;;4092367.25;0
22.00;25.00;-10856993074.66;8492324358.77;4206368.09;122203.78;1151937.43;4211061.95;;4204163.5;0
23.00;23.00;-10897963600.41;8523144576.87;3999426.74;117652.31;1129809.04;4049038.82;;3997127.75;0
23.00;24.00;-10939989271.08;8554773295.17;4114597.61;120053.12;1149855.98;4146020.90;;4112298.5;0
23.00;25.00;-10983009433.81;8587156310.18;4227060.84;122203.78;1169273.35;4240706.99;;4224759;0
24.00;24.00;-11025030935.71;8618714627.60;4133705.67;120053.12;1166291.06;4172497.04;;4131309.25;0
24.00;25.00;-11068053072.03;8651032361.26;4246818.29;122203.78;1185813.49;4267451.50;;4244420.5;0
25.00;25.00;-11111071236.36;8683280251.01;4265864.69;122203.78;1202235.18;4293625.55;;4263370;0
